Dataset,Mode,N,Seed,Repetition,W_pos,Time_s
Iris,full,150,,1,0.7684344532577199,0.4898347854614258
Synthetic,sub300,300,42.0,1,0.27880935307374466,5.082998275756836
Synthetic,sub300,300,43.0,2,0.0864442963974553,4.9382593631744385
Synthetic,sub300,300,44.0,3,0.08025194577935534,4.860025405883789
Synthetic,sub300,300,45.0,4,0.2685335110948792,4.757256746292114
Synthetic,sub300,300,46.0,5,0.2844289080467344,4.738193511962891
Synthetic,sub300,300,47.0,6,0.2744515828713793,4.662716388702393
Synthetic,sub300,300,48.0,7,0.08696594604430613,4.804892301559448
Synthetic,sub300,300,49.0,8,0.10025962406190846,4.739612817764282
Synthetic,sub300,300,50.0,9,0.27311872853666735,5.105601072311401
Synthetic,sub300,300,51.0,10,0.07433984800295941,4.473286151885986
HCV,sub300,300,42.0,1,759.2016994890844,5.295499563217163
HCV,sub300,300,43.0,2,830.4984273958305,5.03237509727478
HCV,sub300,300,44.0,3,1052.975936298131,4.960857391357422
HCV,sub300,300,45.0,4,764.1654304015917,5.21976375579834
HCV,sub300,300,46.0,5,702.8038821094325,5.454986095428467
HCV,sub300,300,47.0,6,668.2309951990168,5.139708757400513
HCV,sub300,300,48.0,7,793.9773317971443,4.876517057418823
HCV,sub300,300,49.0,8,772.7379261696614,4.98276424407959
HCV,sub300,300,50.0,9,1002.8929248999402,5.142632246017456
HCV,sub300,300,51.0,10,1198.1856117039542,4.914083242416382
Synthetic,full,1000,,1,0.08788491854424339,202.41752672195435
HCV,full,589,,1,1208.1119530193864,40.724653244018555
