Dataset,Mode,N,Seed,Repetition,Generations,W_pos,Time_s
HCV,full,589,45,4,1000,4407.824959639207,384.0657558441162
HCV,full,589,46,5,1000,4427.4813755406,277.3969419002533
HCV,full,589,47,6,1000,4211.927023094083,338.95211029052734
HCV,full,589,48,7,1000,4448.93241381277,336.22602462768555
HCV,full,589,49,8,1000,4458.999200414626,269.45184302330017
HCV,full,589,50,9,1000,4244.162834593784,279.981055021286
HCV,full,589,51,10,1000,4435.7186130970185,346.19237422943115
HCV,full,589,52,11,1000,4046.089778085588,359.4749643802643
HCV,full,589,53,12,1000,4376.625101320647,330.3187243938446
HCV,full,589,54,13,1000,4141.619650549031,239.6329619884491
HCV,full,589,55,14,1000,4255.586782636711,298.2984821796417
HCV,full,589,56,15,1000,4300.123560133775,316.3010220527649
HCV,full,589,57,16,1000,4241.247137005647,289.11895084381104
HCV,full,589,58,17,1000,4236.009879362952,273.93086671829224
HCV,full,589,59,18,1000,4252.493182296963,236.1455008983612
HCV,full,589,60,19,1000,4296.807346626655,244.2666265964508
HCV,full,589,61,20,1000,4099.250431028827,249.79860520362854
HCV,full,589,62,21,1000,4559.405828887171,212.93591976165771
HCV,full,589,63,22,1000,4400.205109177224,263.3848834037781
HCV,full,589,64,23,1000,4294.000082355627,244.0816628932953
HCV,full,589,65,24,1000,4244.056729676227,242.42723512649536
HCV,full,589,66,25,1000,4238.199597247156,234.6187674999237
HCV,full,589,67,26,1000,4417.561710555573,240.64331603050232
HCV,full,589,68,27,1000,4154.994621520627,230.24928975105286
HCV,full,589,69,28,1000,4469.463495822093,244.27301740646362
HCV,full,589,70,29,1000,4325.70991383692,207.34939122200012
HCV,full,589,71,30,1000,4236.473574118275,222.8775339126587
