Dataset,Mode,N,Seed,Repetition,Generations,W_pos,Time_s
Iris,full,150,42,1,1000,7.5760494691641735,171.90383648872375
Iris,full,150,43,2,1000,5.306970367799092,159.51890873908997
Iris,full,150,44,3,1000,5.686905669135092,152.49549174308777
Iris,full,150,45,4,1000,5.1871769832530035,157.66853666305542
Iris,full,150,46,5,1000,6.060303275541653,182.29711961746216
Iris,full,150,47,6,1000,7.260319745017927,168.6032783985138
Iris,full,150,48,7,1000,6.125630461748253,159.69023537635803
Iris,full,150,49,8,1000,6.821379164583043,141.43769693374634
Iris,full,150,50,9,1000,6.167466921400479,178.48897290229797
Iris,full,150,51,10,1000,6.180873141586958,144.85114526748657
