Dataset,Mode,N,Seed,Repetition,Generations,W_pos,Time_s
HCV,full,589,42,1,1000,4251.421230104044,626.1607577800751
HCV,full,589,43,2,1000,4255.034125038988,593.818601846695
HCV,full,589,44,3,1000,4491.962832099486,557.6282749176025
HCV,full,589,45,4,1000,4407.824959639207,384.0657558441162
HCV,full,589,46,5,1000,4427.4813755406,277.3969419002533
HCV,full,589,47,6,1000,4211.927023094083,338.95211029052734
HCV,full,589,48,7,1000,4448.93241381277,336.22602462768555
HCV,full,589,49,8,1000,4458.999200414626,269.45184302330017
HCV,full,589,50,9,1000,4244.162834593784,279.981055021286
HCV,full,589,51,10,1000,4435.7186130970185,346.19237422943115
HCV,full,589,52,11,1000,4046.089778085588,359.4749643802643
HCV,full,589,53,12,1000,4376.625101320647,330.3187243938446
HCV,full,589,54,13,1000,4141.619650549031,239.6329619884491
HCV,full,589,55,14,1000,4255.586782636711,298.2984821796417
HCV,full,589,56,15,1000,4300.123560133775,316.3010220527649
HCV,full,589,57,16,1000,4241.247137005647,289.11895084381104
HCV,full,589,58,17,1000,4236.009879362952,273.93086671829224
HCV,full,589,59,18,1000,4252.493182296963,236.1455008983612
HCV,full,589,60,19,1000,4296.807346626655,244.2666265964508
HCV,full,589,61,20,1000,4099.250431028827,249.7986052036285
HCV,full,589,62,21,1000,4559.405828887171,212.9359197616577
HCV,full,589,63,22,1000,4400.205109177224,263.3848834037781
HCV,full,589,64,23,1000,4294.000082355627,244.0816628932953
HCV,full,589,65,24,1000,4244.056729676227,242.42723512649536
HCV,full,589,66,25,1000,4238.199597247156,234.6187674999237
HCV,full,589,67,26,1000,4417.561710555573,240.64331603050232
HCV,full,589,68,27,1000,4154.994621520627,230.24928975105288
HCV,full,589,69,28,1000,4469.463495822093,244.2730174064636
HCV,full,589,70,29,1000,4325.70991383692,207.3493912220001
HCV,full,589,71,30,1000,4236.473574118275,222.8775339126587
HCV,sub300,300,42,1,1000,1933.51323308168,318.14255356788635
HCV,sub300,300,43,2,1000,1771.098023165619,322.8537745475769
HCV,sub300,300,44,3,1000,2046.6084390995784,330.46124267578125
HCV,sub300,300,45,4,1000,1881.8585590203163,290.6759922504425
HCV,sub300,300,46,5,1000,1772.1951716337408,309.86156845092773
Iris,full,150,42,1,1000,7.576049469164173,171.90383648872375
Iris,full,150,43,2,1000,5.306970367799092,159.51890873908997
Iris,full,150,44,3,1000,5.686905669135092,152.49549174308777
Iris,full,150,45,4,1000,5.187176983253004,157.66853666305542
Iris,full,150,46,5,1000,6.060303275541653,182.29711961746216
Iris,full,150,47,6,1000,7.260319745017927,168.6032783985138
Iris,full,150,48,7,1000,6.125630461748253,159.69023537635803
Iris,full,150,49,8,1000,6.821379164583043,141.43769693374634
Iris,full,150,50,9,1000,6.167466921400479,178.48897290229797
Iris,full,150,51,10,1000,6.180873141586958,144.85114526748657
Synthetic,full,1000,42,1,1000,76.18224638349388,1033.3847630023956
Synthetic,full,1000,43,2,1000,77.01681926831132,847.7727642059326
Synthetic,full,1000,44,3,1000,76.60640865232621,552.8582589626312
Synthetic,full,1000,45,4,1000,77.54978491915048,483.8093972206116
Synthetic,full,1000,46,5,1000,79.52751227487218,552.0783281326294
Synthetic,full,1000,47,6,1000,76.59305803610458,547.4922368526459
Synthetic,full,1000,48,7,1000,78.76333510932338,712.6998772621155
Synthetic,full,1000,49,8,1000,79.701195264204,744.8039948940277
Synthetic,full,1000,50,9,1000,78.0831603766874,719.3096351623535
Synthetic,full,1000,51,10,1000,76.45171507444792,742.8654553890228
Synthetic,full,1000,52,11,1000,74.98882812540228,717.8626754283905
Synthetic,full,1000,53,12,1000,70.03109358246392,744.6495044231415
Synthetic,full,1000,54,13,1000,83.62307131864577,744.5776813030243
Synthetic,full,1000,55,14,1000,77.11141943483521,477.3441348075866
Synthetic,full,1000,56,15,1000,77.73687708662077,476.8364005088806
Synthetic,full,1000,57,16,1000,80.13055980789044,502.07461643218994
Synthetic,full,1000,58,17,1000,76.54378743940266,743.0857434272766
Synthetic,full,1000,59,18,1000,76.77383942309237,741.8250041007996
Synthetic,full,1000,60,19,1000,81.19043993758815,560.496684551239
Synthetic,full,1000,61,20,1000,75.51586182539505,518.9389526844025
Synthetic,full,1000,62,21,1000,75.58803250416591,547.3455295562744
Synthetic,full,1000,63,22,1000,79.38281945305565,522.6612024307251
Synthetic,full,1000,64,23,1000,81.03830086310377,449.3064057826996
Synthetic,full,1000,65,24,1000,79.22326406724682,469.10939598083496
Synthetic,full,1000,66,25,1000,71.23352553861409,744.8983025550842
Synthetic,full,1000,67,26,1000,76.76938021773913,726.9949247837067
Synthetic,full,1000,68,27,1000,82.52109133701443,571.0270767211914
Synthetic,full,1000,69,28,1000,74.1292311829448,680.7141518592834
Synthetic,full,1000,70,29,1000,77.63175714147336,603.4668114185333
Synthetic,full,1000,71,30,1000,74.89555797630817,591.1967854499817
Synthetic,sub300,300,42,1,1000,13.146517058290373,332.6356952190399
Synthetic,sub300,300,43,2,1000,10.165096873519012,326.2734653949737
Synthetic,sub300,300,44,3,1000,12.709511844569963,298.3944163322449
Synthetic,sub300,300,45,4,1000,11.487489375138,298.05066657066345
Synthetic,sub300,300,46,5,1000,13.415509524171828,308.0980875492096
