Dataset,Mode,N,Seed,Repetition,W_pos,Time_s
Iris,full,150,42,1,0.9102792030635442,0.6937894821166992
Iris,full,150,43,2,1.5674260469533017,0.7714054584503174
Iris,full,150,44,3,1.033772678225003,0.7448079586029053
Iris,full,150,45,4,0.9632730124910892,0.6816606521606445
Iris,full,150,46,5,1.3692756378541715,0.7849295139312744
Iris,full,150,47,6,1.013275273442072,0.6774530410766602
Iris,full,150,48,7,1.0417630341607529,0.7152152061462402
Iris,full,150,49,8,1.0016454514099469,0.7049152851104736
Iris,full,150,50,9,0.945575972829576,0.7114255428314209
Iris,full,150,51,10,1.594502154109965,0.696340799331665
Iris,full,150,52,11,0.9131827517812745,0.6928865909576416
Iris,full,150,53,12,0.9643722336599745,0.7083225250244141
Iris,full,150,54,13,0.8891515027787531,0.7001917362213135
Iris,full,150,55,14,1.0272912854082656,0.6982262134552002
Iris,full,150,56,15,0.9185258001106534,0.7207813262939453
Iris,full,150,57,16,1.00691025310238,0.7234783172607422
Iris,full,150,58,17,0.8750773045740371,0.741645336151123
Iris,full,150,59,18,0.9050334642911615,0.6811113357543945
Iris,full,150,60,19,0.8624930065682842,0.729058027267456
Iris,full,150,61,20,0.8841585693588829,0.7165882587432861
Iris,full,150,62,21,0.8925464758424038,0.7256371974945068
Iris,full,150,63,22,0.9143093481899979,0.7165822982788086
Iris,full,150,64,23,0.9644778555367587,0.7384839057922363
Iris,full,150,65,24,0.923016558584343,0.7067537307739258
Iris,full,150,66,25,0.9594766097970993,0.7043552398681641
Iris,full,150,67,26,1.0585862827660566,0.7061583995819092
Iris,full,150,68,27,0.8749051841389414,0.7071220874786377
Iris,full,150,69,28,1.0409415553037478,0.7570345401763916
Iris,full,150,70,29,1.0457824286869457,0.7988641262054443
Iris,full,150,71,30,0.9654714548288593,0.779991865158081
Synthetic,full,1000,42,1,2.459748928910124,0.835953950881958
Synthetic,full,1000,43,2,1.2159931268884596,0.8293585777282715
Synthetic,full,1000,44,3,2.1047632776076437,0.8434922695159912
Synthetic,full,1000,45,4,1.2126648252068548,0.8709492683410645
Synthetic,full,1000,46,5,1.7541646306668195,0.8684239387512207
Synthetic,full,1000,47,6,1.6708752830829399,0.9799995422363281
Synthetic,full,1000,48,7,2.198680448376392,0.8599152565002441
Synthetic,full,1000,49,8,1.612342913284433,0.8578331470489502
Synthetic,full,1000,50,9,1.718648472548657,0.8556125164031982
Synthetic,full,1000,51,10,2.3544234791102707,0.8526163101196289
Synthetic,full,1000,52,11,3.152280242524094,0.9164571762084961
Synthetic,full,1000,53,12,1.4198993895728873,0.91510009765625
Synthetic,full,1000,54,13,2.348361827172372,0.8753554821014404
Synthetic,full,1000,55,14,1.5535065846579617,0.8720493316650391
Synthetic,full,1000,56,15,1.662662333715728,0.8333933353424072
Synthetic,full,1000,57,16,1.6087462459887678,0.9038386344909668
Synthetic,full,1000,58,17,1.847149524886384,1.674471378326416
Synthetic,full,1000,59,18,0.5999847148994474,1.7812612056732178
Synthetic,full,1000,60,19,1.3874075620009683,1.5553181171417236
Synthetic,full,1000,61,20,1.9375943376313836,1.553370475769043
Synthetic,full,1000,62,21,1.5180024814311603,1.5432286262512207
Synthetic,full,1000,63,22,1.4804086211453191,1.5211632251739502
Synthetic,full,1000,64,23,1.795594280121622,1.5650088787078857
Synthetic,full,1000,65,24,1.680556935013348,1.4981067180633545
Synthetic,full,1000,66,25,1.0334355547301544,1.4641542434692383
Synthetic,full,1000,67,26,1.9977543756196752,1.5542407035827637
Synthetic,full,1000,68,27,1.9980271782331636,1.5217902660369873
Synthetic,full,1000,69,28,2.206414197384826,1.5301711559295654
Synthetic,full,1000,70,29,1.5989148055934832,1.6074600219726562
Synthetic,full,1000,71,30,1.8272993102947257,1.5233650207519531
HCV,full,589,42,1,1868.9454414144184,1.437370777130127
HCV,full,589,43,2,1748.1269232958182,1.481997013092041
HCV,full,589,44,3,1953.2323217787452,1.6075162887573242
HCV,full,589,45,4,1913.0922568652504,1.336338996887207
HCV,full,589,46,5,1849.321722070016,1.2951061725616455
HCV,full,589,47,6,1834.201228177148,1.200058937072754
HCV,full,589,48,7,1886.4926615634492,1.461512804031372
HCV,full,589,49,8,1821.7022749858031,1.18003249168396
HCV,full,589,50,9,1732.5196541062408,1.196150302886963
HCV,full,589,51,10,1791.4807233975896,1.2049548625946045
HCV,full,589,52,11,2025.3231342362585,1.2055306434631348
HCV,full,589,53,12,1723.546227301582,1.3041512966156006
HCV,full,589,54,13,1804.7671386798918,1.3756215572357178
HCV,full,589,55,14,1994.8278220375905,1.4118223190307617
HCV,full,589,56,15,1768.9101752852137,1.2816412448883057
HCV,full,589,57,16,2037.5184367575998,1.59629225730896
HCV,full,589,58,17,1786.63565460884,1.5684905052185059
HCV,full,589,59,18,1669.2523631794395,1.3710334300994873
HCV,full,589,60,19,1853.4670854415256,1.3338418006896973
HCV,full,589,61,20,1854.9122533428783,1.438459873199463
HCV,full,589,62,21,1903.3671229722256,1.5337395668029785
HCV,full,589,63,22,1760.5802783104277,1.940485954284668
HCV,full,589,64,23,2106.215750034731,1.8746082782745361
HCV,full,589,65,24,1899.4809511788583,1.3803634643554688
HCV,full,589,66,25,1848.5018451863912,1.2476227283477783
HCV,full,589,67,26,1583.380354550213,1.5332143306732178
HCV,full,589,68,27,1807.5788316402536,1.9658465385437012
HCV,full,589,69,28,1784.2429990998162,1.4265930652618408
HCV,full,589,70,29,1830.050447663949,1.524918794631958
HCV,full,589,71,30,1769.876064148312,1.7077348232269287
Synthetic,sub300,300,42,1,0.4662486789814154,1.593576192855835
Synthetic,sub300,300,43,2,0.7872904695018048,1.4862408638000488
Synthetic,sub300,300,44,3,0.1487348267076872,1.534012794494629
Synthetic,sub300,300,45,4,0.4060084406408374,1.4959795475006104
Synthetic,sub300,300,46,5,0.4780693169701342,1.402770757675171
Synthetic,sub300,300,47,6,0.5003062622081975,1.4480865001678467
Synthetic,sub300,300,48,7,0.7119493999021127,1.3833715915679932
Synthetic,sub300,300,49,8,0.6009388553532641,1.4237151145935059
Synthetic,sub300,300,50,9,0.4834874658661641,1.400895595550537
Synthetic,sub300,300,51,10,0.16986640293235514,1.4425113201141357
HCV,sub300,300,42,1,947.4123068802631,1.4370412826538086
HCV,sub300,300,43,2,898.554727454414,1.4888598918914795
HCV,sub300,300,44,3,1207.391041836264,1.2875723838806152
HCV,sub300,300,45,4,956.5127982554319,1.4559829235076904
HCV,sub300,300,46,5,1129.9324975899406,1.536834955215454
HCV,sub300,300,47,6,830.9578772510097,1.4475502967834473
HCV,sub300,300,48,7,898.9836749222482,1.4292526245117188
HCV,sub300,300,49,8,940.4651039289358,1.2420449256896973
HCV,sub300,300,50,9,1137.8084130701277,1.4202296733856201
HCV,sub300,300,51,10,1356.711291968456,1.3963561058044434
