Dataset,Mode,Method,N,Reps,W_pos_mean,W_pos_std,W_pos_min,W_pos_max,Time_mean_s,Time_std_s
HCV,full,Exact (Blossom),589,1,1208.1119530193864,,1208.1119530193864,1208.1119530193864,40.72465324401856,
HCV,full,GA baseline,589,30,4307.31293732261,123.78411233929657,4046.089778085588,4559.405828887171,306.3333820581436,107.68542678028362
HCV,full,"Proposed (JAIIO published, cited)",589,30,2083.886,93.005,1884.077,2263.661,0.76,
HCV,full,Proposed (this study),589,30,1840.385004777016,110.38924542644222,1583.380354550213,2106.215750034731,1.4474350372950235,0.2128340850131838
HCV,sub300,Exact (Blossom),300,10,854.5670165463787,171.72554740316352,668.2309951990168,1198.1856117039542,5.101918745040893,0.18382471246267765
HCV,sub300,GA baseline,300,5,1881.054685200187,116.29859426154013,1771.098023165619,2046.6084390995784,314.3990262985229,15.222207687177807
HCV,sub300,Proposed (this study),300,10,1030.4729733157092,168.03216233757536,830.9578772510097,1356.711291968456,1.4141725063323975,0.08834683489604754
Iris,full,Exact (Blossom),150,1,0.7684344532577199,,0.7684344532577199,0.7684344532577199,0.4898347854614258,
Iris,full,GA baseline,150,10,6.237307519922967,0.7819514107936021,5.187176983253004,7.576049469164173,161.69552221298218,13.589624686363488
Iris,full,"Proposed (JAIIO published, cited)",150,30,0.918,0.036,0.843,0.983,0.7,
Iris,full,Proposed (this study),150,30,1.010883279661608,0.18202709211414922,0.8624930065682842,1.594502154109965,0.721173866589864,0.03132776131589547
MNIST,full,"Proposed (JAIIO published, cited)",10000,30,176559.824,295.413,176074.447,177145.002,54.7,
SIFT,full,"Proposed (JAIIO published, cited)",10000,30,15427.707,33.59,15371.676,15492.184,17.29,
Synthetic,full,Exact (Blossom),1000,1,0.0878849185442433,,0.0878849185442433,0.0878849185442433,202.41752672195437,
Synthetic,full,GA baseline,1000,30,77.41779912073079,2.9181677417057648,70.03109358246392,83.62307131864577,635.7162231763203,136.13342770200484
Synthetic,full,"Proposed (JAIIO published, cited)",1000,30,3.534,0.543,2.521,4.52,0.82,
Synthetic,full,Proposed (this study),1000,30,1.7652101962766689,0.4840386814437719,0.5999847148994474,3.152280242524094,1.195448629061381,0.35560579554000205
Synthetic,sub300,Exact (Blossom),300,10,0.18076037439093892,0.10053941160013469,0.0743398480029594,0.2844289080467344,4.816284203529358,0.19103614843054526
Synthetic,sub300,GA baseline,300,5,12.184824935137835,1.3491025699033834,10.165096873519012,13.415509524171828,312.69046621322633,15.985155179363348
Synthetic,sub300,Proposed (this study),300,10,0.4752900119063973,0.2040271960657275,0.1487348267076872,0.7872904695018048,1.4611160278320312,0.06641281396558917
